trip_type,pickup_location,dropoff_location,transport_type,adults,children,pickup_time,return_time,price
one side,BEAUVAIS,Disneyland,car,0,1,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,car,0,1,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,car,0,1,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,car,0,1,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,car,0,2,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,car,0,2,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,car,0,2,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,car,0,2,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,car,0,3,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,0,3,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,0,3,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,0,3,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,0,4,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,0,4,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,0,4,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,0,4,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,1,0,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,car,1,0,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,car,1,0,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,car,1,0,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,car,1,1,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,car,1,1,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,car,1,1,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,car,1,1,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,car,1,2,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,1,2,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,1,2,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,1,2,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,1,3,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,1,3,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,1,3,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,1,3,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,2,0,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,car,2,0,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,car,2,0,6 AM - 10 PM,10 PM - 6 AM,155.0
